Collection,Volume,24 hs %,7 d %,Floor,Owners,Items,Category,Chain,Crypto,Is +1 category?,Marketplace,Twitter followers,Volume (USD),Floor (USD)
ArcheWorld_Land,261462,-0.064,,520,478,1400,Trading Cards,Klaytn,KLAY,0,,13000,110859.888,220.48
Puzzle Fantasy,29806,-1,,245,518,5000,Trading Cards,Klaytn,KLAY,0,,3785,12637.744,103.88
KEROZ LAND MINT PASS,175827,,-0.3739,350,691,3600,Utility,Klaytn,KLAY,0,,13900,74550.648,148.4
Klay Museum,149737,-1,19,26,539,5500,Utility,Klaytn,KLAY,0,,3242,63488.488,11.024
Klanium Card,97571,,0.5579,38,1200,3400,Utility,Klaytn,KLAY,0,,55400,41370.104,16.112
ChartpanNFT,43646,-0.03343,2.291,120,256,10000,Utility,Klaytn,KLAY,0,,3744,18505.904,50.88
Neverland Pirateships,38276,,-0.9039,33,209,1000,Utility,Klaytn,KLAY,0,,2748,16229.024,13.992
,,,,,,,Virtual Worlds,Klaytn,KLAY,0,,,,
,,,,,,,Virtual Worlds,Klaytn,KLAY,0,,,,
,,,,,,,Virtual Worlds,Klaytn,KLAY,0,,,,
,,,,,,,Virtual Worlds,Klaytn,KLAY,0,,,,
,,,,,,,Virtual Worlds,Klaytn,KLAY,0,,,,
